"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS","WT01"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-01",,"54","45","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-02",,"58","48","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-03",,"57","51","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-04",,"56","48","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-05",,"61","47","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-06",,"57","48","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-07",,"66","51","62",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-08",,"66","51","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-09",,"68","48","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-10",,"65","50","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-11",,"66","48","60",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-12",,"65","50","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-13",,"62","49","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-14",,"62","45","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-15",,"60","46","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-16",,"62","46","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-17",,"53","46","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-18",,"56","47","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-19",,"51","46","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-20",,"63","42","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-21",,"61","44","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-22",,"65","44","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-23",,"69","49","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-24",,"61","47","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-25",,"58","47","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-26",,"57","47","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-27",,"61","42","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-28",,"56","46","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-29",,"54","47","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-30",,"53","47","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-31",,"54","48","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-01",,"59","53","58",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-02",,"58","57","58",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-03",,"61","55","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-04",,"59","46","46",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-05",,"55","42","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-06",,"60","44","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-07",,"56","47","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-08",,"55","43","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-09",,"56","42","45",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-10",,"57","42","45",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-11",,"52","42","45",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-12",,"53","45","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-13",,"58","49","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-14",,"55","48","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-15",,"59","44","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-16",,"60","47","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-17",,"57","47","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-18",,"62","46","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-19",,"58","50","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-20",,"61","47","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-21",,"66","48","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-22",,"64","43","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-23",,"62","50","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-24",,"63","51","52","    1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-25",,"70","45","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-26",,"70","48","58",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-27",,"72","53","60",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-28",,"71","49","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-01",,"56","49","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-02",,"55","48","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-03",,"58","46","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-04",,"59","49","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-05",,"55","48","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-06",,"57","46","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-07",,"63","46","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-08",,"59","46","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-09",,"59","46","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-10",,"67","47","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-11",,"61","48","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-12",,"57","48","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-13",,"52","45","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-14",,"57","43","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-15",,"60","48","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-16",,"60","48","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-17",,"58","48","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-18",,"59","45","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-19",,"58","45","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-20",,"60","46","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-21",,"59","47","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-22",,"59","51","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-23",,"63","50","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-24",,"79","52","65",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-25",,"80","52","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-26",,"64","52","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-27",,"61","54","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-28",,"60","51","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-29",,"59","48","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-30",,"64","49","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-03-31",,"61","50","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-01",,"56","49","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-02",,"58","46","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-03",,"60","46","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-04",,"67","48","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-05",,"69","50","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-06",,"64","49","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-07",,"61","53","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-08",,"62","52","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-09",,"71","51","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-10",,"65","50","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-11",,"63","50","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-12",,"61","48","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-13",,"73","48","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-14",,"60","50","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-15",,"61","52","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-16",,"59","53","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-17",,"60","50","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-18",,"58","50","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-19",,"60","50","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-20",,"60","50","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-21",,"64","49","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-22",,"61","50","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-23",,"56","49","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-24",,"56","50","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-25",,"59","50","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-26",,"58","48","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-27",,"60","50","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-28",,"61","49","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-29",,"64","50","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-04-30",,"64","51","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-01",,"59","50","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-02",,"58","49","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-03",,"59","50","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-04",,"63","49","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-05",,"81","55","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-06",,"65","53","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-07",,"61","50","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-08",,"65","50","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-09",,"69","51","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-10",,"65","51","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-11",,"60","51","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-12",,"62","52","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-13",,"62","51","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-14",,"62","51","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-15",,"63","51","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-16",,"64","52","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-17",,"58","51","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-18",,"65","50","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-19",,"68","53","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-20",,"64","51","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-21",,"67","51","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-22",,"62","51","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-23",,"58","50","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-24",,"59","50","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-25",,"60","51","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-26",,"62","52","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-27",,"65","51","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-28",,"60","52","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-29",,"66","52","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-30",,"75","52","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-05-31",,"75","53","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-01",,"60","52","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-02",,"65","52","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-03",,"66","54","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-04",,"64","53","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-05",,"65","55","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-06",,"65","56","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-07",,"61","54","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-08",,"60","53","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-09",,"58","53","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-10",,"59","52","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-11",,"59","52","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-12",,"59","51","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-13",,"60","50","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-14",,"62","51","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-15",,"63","52","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-16",,"60","50","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-17",,"65","52","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-18",,"69","51","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-19",,"60","52","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-20",,"62","51","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-21",,"67","52","57",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-22",,"68","53","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-23",,"64","52","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-24",,"59","52","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-25",,"60","50","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-26",,"65","52","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-27",,"68","53","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-28",,"66","52","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-29",,"66","51","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-06-30",,"61","52","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-01",,"65","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-02",,"62","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-03",,"60","54",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-04",,"62","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-05",,"63","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-06",,"65","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-07",,"64","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-08",,"66","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-09",,"61","54",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-10",,"77","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-11",,"66","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-12",,"64","54",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-13",,"63","54",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-14",,"66","54",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-15",,"64","54",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-16",,"65","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-17",,"65","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-18",,"64","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-19",,"62","54",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-20",,"60","54",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-21",,"62","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-22",,"65","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-23",,"66","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-24",,"65","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-07-25",,"63","55",,
